ncl,cltype,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim
107,2,298.5,29.85,64.08,6.408,11.17,1.117,2.465,0.2471,2.198,0.2204,4.164,0.1867,3.464,0.1484,3.726,0.2062,2.98,0.2227,2.711,0.1575,0.5347,0.8058,0.9541,0.2482,5.14,14.69
108,1,422.7,42.27,85.92,8.592,15.33,1.533,3.163,0.3169,2.831,0.2837,4.233,0.2003,3.772,0.1692,3.927,0.233,2.55,0.2181,2.825,0.1973,0.5522,0.8052,0.973,0.2977,9.144,33.02
109,1,312.2,31.22,49.76,4.976,9.392,0.9396,1.925,0.1932,2.033,0.204,4.175,0.1874,3.738,0.1817,3.693,0.1512,4.746,0.7941,2.726,0.1367,1.433,1.262,2.133,0.5222,8.192,27.05
110,1,155.6,15.56,24.7,2.47,4.715,0.4718,1.114,0.1121,1.123,0.113,4.129,0.2362,3.63,0.288,3.612,0.2327,2.828,0.2032,1.765,0.0737,0.345,1.165,0.9134,0.2314,3.972,15.27
111,1,281.7,28.17,45.24,4.525,8.632,0.8635,1.776,0.1783,1.899,0.1905,3.938,0.1899,3.657,0.206,3.546,0.1524,3.782,0.219,2.696,0.1326,1.427,1.139,2.016,0.5342,7.039,23.27
112,1,261.8,26.18,67.5,6.75,5.177,0.5182,1.366,0.1373,2.083,0.209,2.244,0.1015,1.959,0.06432,2.037,0.1016,1.079,0.09359,1.311,0.05568,0.806,1.442,1.686,0.6606,9.001,26.47
113,1,252.6,25.26,65.94,6.594,4.882,0.4888,1.307,0.1313,2.035,0.2042,2.244,0.1008,1.958,0.06201,2.044,0.1092,1.034,0.08691,1.32,0.05598,0.7896,1.838,1.899,0.7704,8.398,23.13
114,2,5.062,0.507,1.308,0.1326,nan,nan,nan,nan,nan,nan,1.851,0.05283,2.245,0.1053,nan,nan,nan,nan,nan,nan,0.2419,0.2271,nan,0.01798,1.169,8.145
115,0,36.21,3.622,10.83,1.084,nan,nan,nan,nan,nan,nan,2.403,0.188,11.94,0.7544,nan,nan,nan,nan,nan,nan,0.4328,1.87,1.382,0.5825,22.96,199.7
116,2,20.53,2.053,3.535,0.3547,0.1889,0.0197,nan,nan,nan,nan,2.024,0.1062,2.154,0.1576,1.961,0.182,nan,nan,nan,nan,0.2258,0.4723,0.2316,0.2002,1.539,7.127
117,2,34.16,3.417,9.586,0.9589,0.2987,0.03075,nan,nan,0.1623,0.017,1.744,0.1035,1.529,0.05169,1.329,0.06448,nan,nan,1.548,0.08516,0.2989,0.9805,0.739,0.1728,1.364,6.69
118,2,12.77,1.277,2.361,0.2366,0.3962,0.03996,0.0805,0.008805,0.03387,0.003821,1.365,0.06985,1.274,0.04793,1.237,0.0578,0.8263,0.04569,0.7715,0.03367,0.23,0.2956,nan,0.0691,0.4125,2.909
119,1,121,12.1,20.69,2.069,3.88,0.3883,0.9145,0.0921,0.9475,0.0954,3.824,0.2289,3.16,0.2409,3.047,0.1863,2.335,0.1338,1.699,0.07199,0.3285,0.9659,0.7812,0.1766,3.02,12.51
120,2,14.58,1.458,2.862,0.2867,0.4259,0.04295,0.05951,0.006644,0.1032,0.01134,1.367,0.07227,1.276,0.04696,1.283,0.05456,0.7927,0.02407,1.066,0.04456,0.2403,0.4867,0.2844,0.4382,0.6188,4.654
121,2,7.295,0.7297,0.9337,0.0954,0.1173,0.01269,0.05482,0.006048,nan,nan,1.794,0.1148,1.684,0.09338,1.728,0.1154,1.634,0.1666,nan,nan,0.365,0.1793,nan,0.0722,0.6981,4.945
122,2,118.2,11.82,32.25,3.226,2.3,0.2306,0.8446,0.08524,1.078,0.1085,3.506,0.1484,2.796,0.1134,2.554,0.1102,3.61,0.3123,2.212,0.09052,0.5759,0.4846,0.7136,0.1444,2.581,8.436
123,2,43.72,4.372,11.29,1.13,0.3421,0.03502,0.1104,0.01132,0.1469,0.01535,2.157,0.08125,1.934,0.05297,1.87,0.04657,1.267,0.1093,1.57,0.08174,0.6505,0.4809,0.7736,0.2149,1.761,6.69
124,2,38.16,3.816,13.52,1.352,0.9606,0.09637,0.2961,0.03035,0.5547,0.05592,1.419,0.08708,1.371,0.07151,1.467,0.101,1.312,0.1353,1.057,0.08515,0.2736,1.21,0.8041,0.9488,1.507,10.47
125,2,19.87,1.987,6.98,0.6983,0.3933,0.03972,0.06917,0.007653,0.135,0.01429,1.344,0.06476,1.336,0.06319,1.257,0.04442,1.107,0.04821,1.302,0.0726,0.328,0.4658,0.419,0.109,0.7721,4.363
