ncl,cltype,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim
161,1,788,78.8,134.2,13.42,11.92,1.193,3.069,0.3092,4.096,0.4116,4.726,0.2231,2.335,0.1029,5.448,0.485,0.6001,0.3143,1.934,0.2414,0.8984,4.021,3.052,2.308,38.62,62.98
162,1,761.9,76.19,131.9,13.19,11.42,1.144,2.957,0.2979,3.997,0.4017,4.837,0.2387,2.449,0.1218,5.428,0.5043,0.6263,0.2837,1.869,0.2441,0.9012,4.029,3.06,2.373,36.44,60.36
163,1,734.8,73.48,129.7,12.97,11.04,1.105,2.835,0.2856,3.879,0.3898,4.902,0.238,2.551,0.1238,5.437,0.495,5.049,0.7269,1.878,0.2553,0.9032,4.036,3.067,2.539,33.81,60.65
164,1,700.6,70.06,126.7,12.67,10.6,1.061,2.682,0.2703,3.752,0.377,4.956,0.2371,2.629,0.1195,5.456,0.4905,4.897,0.6917,1.958,0.2708,0.9038,4.032,3.066,2.615,30.9,62.1
165,1,122.4,12.24,17.6,1.762,1.642,0.1659,0.2435,0.02786,0.3448,0.0374,3.139,0.1436,2.74,0.1208,2.152,0.06136,3.399,0.526,1.238,0.1196,1.528,0.4268,1.223,0.6741,7.129,19.78
166,2,5.438,0.5443,0.5688,0.06066,nan,nan,nan,nan,nan,nan,2.046,0.1022,0.954,0.03314,nan,nan,nan,nan,nan,nan,0.2909,0.2253,nan,0.03506,0.9731,4.8
167,2,0.3982,0.04255,0.06026,0.01188,nan,nan,nan,nan,nan,nan,1.859,0.09058,0.9676,0.08238,nan,nan,nan,nan,nan,nan,0.1562,0.2227,nan,0.05313,0.275,2.473
168,1,24.3,2.43,3.199,0.3228,0.7819,0.07941,0.1817,0.02056,0.1155,0.01428,2.274,0.06892,1.517,0.028,2.07,0.05266,1.775,0.07696,1.858,0.1925,1.074,0.6436,1.264,0.3228,2.983,12.36
169,2,3.958,0.3965,0.3413,0.03877,0.1428,0.01575,0.05351,0.007545,nan,nan,1.845,0.0627,1.243,0.009321,1.577,0.05448,2.104,0.1595,nan,nan,0.3894,0.1951,nan,0.3934,0.6135,3.782
170,2,3.018,0.3021,0.2201,0.02596,0.06659,0.007888,0.005365,0.002193,nan,nan,1.659,0.07747,1.717,0.09727,1.382,0.07437,0.2691,403.9,nan,nan,0.232,0.1957,nan,0.02413,0.2803,2.327
171,2,0.5213,0.05407,0.04194,0.009355,nan,nan,nan,nan,nan,nan,1.392,0.08032,0.2581,155.9,nan,nan,nan,nan,nan,nan,0.4404,0.208,0.1174,0.6024,0.4442,3.927
172,2,3.975,0.3988,0.4656,0.05093,nan,nan,nan,nan,nan,nan,1.141,0.04097,0.806,0.01881,nan,nan,nan,nan,nan,nan,0.3134,0.2072,nan,0.1127,1.174,7.272
173,2,63.11,6.312,13.9,1.391,nan,nan,nan,nan,nan,nan,2.443,0.04294,1.579,0.02832,nan,nan,nan,nan,nan,nan,0.2792,0.413,0.2767,0.2611,5.14,19.49
174,2,0.5151,0.05336,0.08532,0.01431,nan,nan,nan,nan,nan,nan,1.369,0.02741,0.9653,0.08872,nan,nan,nan,nan,nan,nan,0.1814,0.2033,nan,0.01964,0.312,2.618
175,2,0.4862,0.0509,0.06725,0.01202,nan,nan,nan,nan,nan,nan,1.463,0.03904,1.083,0.08047,nan,nan,nan,nan,nan,nan,0.2229,0.1928,nan,0.009659,0.3385,2.618
176,2,1.948,0.1954,0.1739,0.02266,0.04439,0.006131,nan,nan,nan,nan,1.237,0.03921,1.246,0.05068,0.758,0.03869,nan,nan,nan,nan,0.2383,0.2058,nan,0.02003,0.4231,2.909
177,2,296.3,29.63,31.61,3.162,4.638,0.4649,0.5791,0.06074,1.183,0.1204,3.983,0.1484,3.551,0.1463,3.335,0.09639,4.726,0.6117,2.751,0.137,1.851,0.5186,1.519,0.7762,8.901,21.67
178,2,2.845,0.2851,0.1143,0.01789,0.03443,0.00541,nan,nan,nan,nan,2.785,0.165,2.219,0.159,0.8279,0.07418,nan,nan,nan,nan,0.3456,0.1718,nan,0.0826,0.3596,2.909
179,2,1.96,0.1968,0.4274,0.04548,nan,nan,nan,nan,nan,nan,1.115,0.02078,0.8675,0.01579,nan,nan,nan,nan,nan,nan,0.1842,0.2915,nan,0.1248,0.476,3.054
180,2,27.25,2.725,4.296,0.4307,0.3471,0.036,0.07521,0.009847,0.09572,0.01176,2.394,0.1331,2.398,0.1433,2.2,0.09354,2.558,0.2063,1.4,0.08113,0.4858,0.3393,0.4553,0.1088,1.327,6.545
181,1,15.09,1.51,2.432,0.2457,nan,nan,nan,nan,nan,nan,1.664,0.02688,1.239,0.01854,nan,nan,nan,nan,nan,nan,0.2727,0.3745,0.204,0.1877,2.205,11.05
182,2,14.08,1.409,2.322,0.2343,nan,nan,nan,nan,nan,nan,1.556,0.0126,1.187,0.02265,nan,nan,nan,nan,nan,nan,0.2726,0.3744,0.2038,0.188,1.55,7.127
183,2,1.783,0.1794,0.1286,0.01908,nan,nan,nan,nan,nan,nan,2.101,0.1044,2.166,0.19,nan,nan,nan,nan,nan,nan,0.2964,0.07905,nan,0.09465,0.6663,5.236
184,2,3.438,0.3441,0.3522,0.03781,nan,nan,nan,nan,nan,nan,1.027,0.04668,1.024,0.05196,nan,nan,nan,nan,nan,nan,0.1996,0.4907,0.175,0.6347,0.4389,3.927
185,1,19.21,1.921,2.768,0.2791,0.6027,0.06133,0.1147,0.01366,0.1065,0.01309,1.746,0.05384,1.27,0.0387,1.495,0.05987,1.073,0.04956,1.44,0.09776,0.547,0.8253,0.9822,0.3985,2.168,9.454
186,2,6.413,0.6416,1.2,0.1214,0.1907,0.02,0.02559,0.004509,0.0213,0.004327,1.186,0.03191,1.008,0.02193,1.138,0.03646,0.7607,0.03426,0.6735,0.02106,0.2342,0.2535,nan,0.02673,0.5976,3.782
187,2,2.708,0.2712,0.3378,0.03684,0.08013,0.009213,nan,nan,nan,nan,0.999,0.04054,0.9302,0.03063,0.6482,0.03573,nan,nan,nan,nan,0.2328,0.2537,nan,0.0228,0.4231,2.763
